0, SOAN101, SOAN102, CHIN101, LAS100, CHEM110, ENVR101
148, MATH160, PG102, ENGL199, BIOL111, SPAN201, JAPN101
149, PG103, BIOL112, ENGL212, HIST102, MATH160, ARAB101
150, AFAM101, SPAN201, ARTH276, SPAN101, IPE201, HIST230
151, CHIN101, SPAN101, MUS101, PG101, FREN101, CHEM110
152, FREN101, HIST153, FREN201, HIST102, ENGL227, MUS101
153, GERM101, PHIL101, REL201, CHEM110, ARTH276, CHEM115
154, CHEM115, SPAN203, MUS103, THAI101, SPAN101, PHIL101
155, REL212, BIOL111, CHEM110, HIST153, MUS103, MATH160
156, CHEM110, GEOL101, ECON170, LAT101, LTS200, SPAN101
157, ECON170, HIST153, MATH160, COMM181, ENGL212, PG101
158, PHIL101, CHEM110, BIOL111, SPAN201, PG101, ENGL245
159, LAS100, SPAN101, PG103, SPAN201, SOAN101, ENGL220
160, MATH290, REL204, GQS201, PG102, MATH181, MATH180
161, PSYC101, JAPN101, FREN201, OT101, MUS103, CWLT100
162, CHEM110, SOAN101, IPE201, FREN101, PHYS121, BIOL111
163, GQS201, CHEM110, ECON170, MATH110, CHEM115, PHYS121
164, PG104, MATH180, BIOL111, CHEM110, ENGL199, MATH160
165, FREN240, SPAN201, FREN201, CHEM110, ECON170, PG104
166, PSYC101, CHEM110, SPAN201, HIST102, ENGL199, CHEM115
167, JAPN101, ECON170, MATH160, HIST230, FREN240, FREN201
168, ENGL199, PG104, MUS103, ARTH276, CHEM110, REL211
169, MUS101, PG101, CWLT100, PG104, CSCI261, SPAN101
170, CHEM110, GQS291, CHIN101, IPE201, SPAN201, LAT101
171, MATH280, MUS103, CHEM115, PG104, CHEM110, MATH260
172, CHEM110, IPE201, MATH180, ECON170, PG104, GEOL101
173, SOAN101, MATH160, GERM101, PG101, FREN210, CHEM110
174, SPAN101, SPAN203, SOAN101, MATH180, PHIL228, LAS100
175, HIST102, BIOL111, ARTS147, ARTS101, SPAN201, CHEM110
176, SOAN101, MATH160, SPAN101, PG102, SPAN201, BUS101
177, AFAM101, FREN101, SPAN201, MATH280, IPE201, JAPN101
178, CHEM115, BIOL111, IPE201, MATH180, FREN201, CHEM110
179, CSCI161, ENVR101, CHEM110, OT101, MATH180, SPAN203
180, LAS100, SPAN101, PHIL101, MUS103, SOAN101, JAPN201
181, HIST245, MUS103, PG103, BUS101, SPAN204, GRK101
182, MATH160, SPAN101, BIOL111, SOAN101, JAPN101, MATH180
183, BIOL111, CLSC211, MUS103, MATH180, BIOL112, CHEM110
184, THAI101, ARTS101, SPAN101, MATH160, ENGL199, GEOL101
185, PG104, SPAN201, GERM101, MUS103, MUS101, SPAN101
186, ECON170, MATH160, MATH180, SOAN101, GQS201, CHEM110
187, HIST230, LTS200, PHIL101, SOAN101, SPAN101, ARTS101
188, SPAN101, PG102, ARTS102, MATH160, ECON170, PHIL101
189, PHIL101, HIST230, MUS103, ECON170, OT101, BIOL111
190, PG102, FREN210, ECON170, MATH290, HIST230, GERM101
191, BIOL111, CHEM110, IPE201, PG104, FREN210, HIST230
192, SPAN201, SPAN101, ECON170, PG104, CHEM110, FREN201
193, PG101, ECON170, MUS101, CHEM115, SPAN201, OT101
194, MATH160, MUS103, CWLT100, PG103, MUS105, FREN201
195, HIST153, PHIL101, ECON170, FREN201, CHEM110, REL211
196, MATH280, CHEM115, FREN201, MUS103, MUS105, CHEM110
197, CHEM110, HIST230, MATH160, PG103, GEOL101, MUS101
198, BIOL111, ENGL212, ECON170, PHIL101, HIST153, GEOL101
199, LTS200, PG101, MATH181, FREN201, MATH160, PG103
200, MATH160, ECON170, PHYS121, ALC225, HIST230, BIOL111
201, MATH280, PG103, CHEM115, GEOL101, REL204, PG101
202, MUS101, MUS126, HIST245, PHIL101, GEOL101, CHEM110
203, JAPN101, MATH180, PHIL101, ECON170, MATH160, BIOL112
204, GERM101, PG101, SPAN101, FREN201, BIOL111, CHEM110
205, MUS103, PG104, ARTH276, MUS101, GEOL101, FREN101
206, CHEM110, MATH160, SPAN201, MUS101, FREN210, SPAN101
207, MATH160, REL204, IPE201, SPAN204, ECON170, GERM101
208, GEOL101, ECON170, MATH180, MUS101, SPAN101, CHIN101
209, HIST291, PSYC101, CHEM115, LAS100, SPAN201, PHIL101
210, CHEM110, MATH160, PG102, BUS101, SPAN101, ALC225
211, PHIL101, ECON170, BUS101, CHEM110, MATH181, IPE201
212, ARAB101, SOAN202, PHYS121, ENGL212, MUS126, MATH160
213, SPAN201, HIST102, CHEM115, MUS101, PG102, BIOL111
214, SPAN101, MATH160, BIOL111, CHEM110, PG103, PHYS121
215, SPAN203, PG101, BIOL111, SPAN201, MATH160, MATH280
216, CHEM110, ALC225, PHIL101, MATH180, BIOL111, MATH160
217, PG103, MUS101, CHEM110, PHIL281, GERM101, CHEM115
218, HIST153, PSYC101, SPAN300, ARAB101, PHIL101, CHEM110
219, FREN240, JAPN101, PG103, BIOL111, PHIL101, IPE201
220, CSCI161, PG103, CHEM110, ECON170, MATH180, MUS105
221, PG104, PG103, STS201, MUS103, MATH181, MATH160
222, PG101, MATH160, BIOL111, MATH181, ECON170, HIST102
223, CSCI161, STS201, REL202, GERM101, FREN240, PG101
224, COMM170, CHEM110, PG103, SPAN203, ECON170, MUS103
225, MUS101, BIOL112, SOAN101, HIST153, LAT101, GQS291
226, ENGL212, FREN201, CHEM110, PG104, PHIL101, BIOL111
227, MATH180, FREN201, MATH160, SOAN101, PG104, REL212
228, MATH180, SPAN101, LTS200, COMM170, MATH260, FREN201
229, SOAN101, CSCI161, ARTS101, SPAN101, PG103, ECON170
230, MATH280, CHEM110, MATH181, BIOL112, SPAN101, MUS101
231, MUS105, CHEM110, GERM101, ECON170, PHIL215, IPE201
232, CLSC211, FREN101, CSCI161, CHEM250, ARTS101, CHEM110
233, GERM201, MATH180, IPE201, FREN210, PG103, SOAN101
234, CHEM110, MATH180, SPAN101, GQS201, FREN101, PHYS121
235, MUS103, FREN201, PSYC101, MATH160, ENGL227, ARTH275
236, MATH160, PG102, MATH180, CHEM110, SPAN101, AFAM101
237, BIOL111, SOAN101, CHEM110, PHYS121, MATH160, SPAN204
238, FREN101, SPAN201, CSCI161, PHIL101, BIOL111, CLSC211
239, MUS101, MATH180, JAPN301, CHIN201, CHEM110, SPAN101
240, CSCI161, MATH181, ECON170, GEOL101, PG103, JAPN101
241, FREN101, IPE191, PG102, AFAM101, SPAN300, ECON170
242, CHEM110, MATH180, PHIL101, CSCI161, SPAN201, IPE201
243, MATH160, BIOL111, CHEM110, HIST230, MATH290, MUS101
244, REL212, SPAN101, PG103, BIOL111, SPAN201, ENGL199
245, MATH160, MATH280, AFAM101, PG102, ARTH276, SPAN201
246, MATH181, SPAN300, GERM101, LAT101, GEOL101, PG103
247, LTS200, PSYC101, SOAN101, ENGL234, ENGL199, MATH160
248, SPAN101, MUS103, GERM101, MATH180, MUS101, SPAN201
249, SOAN101, COMM292, MATH280, BIOL112, CHEM110, ENVR101
250, MUS101, MATH260, SPAN201, FREN210, FREN201, ECON170
251, BIOL111, MATH160, MATH180, LAS100, PHIL215, CHEM110
252, ENGL212, JAPN101, ECON170, MUS126, MATH160, THTR200
253, PG101, LTS200, SPAN201, MUS101, GERM101, MATH180
254, MATH160, HIST230, PHYS111, ECON170, CHEM110, PHIL224
255, FREN101, PG104, ECON170, CHEM110, IPE201, GQS201
256, MATH160, CHEM110, ECON170, LAS100, PHYS121, ENGL199
257, PG103, JAPN101, MUS103, ENGL245, SOAN101, BIOL111
258, GERM201, PHIL101, CSCI161, ECON170, GERM101, MATH180
259, ECON170, REL204, GERM201, MUS101, GEOL101, HIST102
260, COMM170, MATH180, SPAN201, IPE201, LAS100, MATH160
261, SPAN201, ENGL212, PG103, MUS205, SOAN101, CHEM110
262, CHEM110, MATH180, PSYC101, REL211, MATH160, ECON170
263, PHIL101, BUS101, ENGL212, ECON170, AFAM101, MUS126
264, CHEM110, REL202, SOAN101, MATH181, ECON170, BIOL111
265, CHEM110, SPAN101, ARTH275, MATH180, CHIN201, CHIN101
266, PHIL101, MATH160, BIOL111, ENGL212, MUS103, ECON170
267, FREN101, MATH160, FREN201, GEOL101, CHIN101, ECON170
268, CHIN101, CHEM110, CHEM115, BIOL111, MATH160, CSCI161
269, ARTS101, PSYC265, MUS101, ENGL245, SOAN101, SPAN101
270, SOAN102, MATH160, ENGL212, SOAN101, SPAN201, CHEM110
271, MATH160, MUS103, GQS201, COMM170, IPE201, SPAN201
272, FREN101, CWLT100, MATH180, PG103, SPAN300, CHEM250
273, PHIL281, GQS291, ECON170, MATH160, CHIN101, CHEM110
274, LTS200, GEOL101, REL211, GERM101, COMM181, MATH160
275, CHEM115, CHEM110, SPAN201, CHIN101, FREN201, MATH181
276, SOAN101, CHIN101, PG102, CHEM110, SPAN101, ENGL220
277, ECON170, SPAN101, MATH160, HIST245, SPAN201, CHEM110
278, CHEM110, MATH180, BIOL112, PHYS121, ENVR101, MATH160
279, SPAN101, PHYS121, OT101, CHEM110, ECON170, GQS201
280, GQS201, LAS100, HIST245, SPAN101, LAT101, CHEM110
281, HIST153, LAS100, PHIL101, PSYC101, BIOL111, ALC225
282, GERM101, CHEM110, ENGL212, SPAN101, IPE201, CWLT100
283, MATH160, SPAN201, MUS105, CSCI161, PSYC265, CHEM110
284, GEOL101, PG103, MUS101, ECON170, SPAN101, CHEM110
285, SPAN101, GERM101, GQS291, MATH180, PHYS121, MATH160
286, ENVR101, CHEM115, CHIN101, PG101, CSCI161, CHEM110
287, GERM101, HIST224, REL211, FREN101, BIOL111, CHIN101
288, MUS101, CHEM110, SOAN101, LTS200, PG102, SPAN201
289, MATH181, IPE201, ECON170, SPAN201, SOAN101, PG101
290, CHEM110, MATH280, SOAN101, MATH181, PSYC101, BIOL111
291, SPAN101, REL204, BIOL112, FREN101, MATH160, BIOL111
292, PHYS111, SPAN101, CHEM110, PHIL101, PG102, HIST230
293, CLSC231, SPAN101, AFAM101, PHYS121, CHEM110, PSYC101
294, MATH180, THAI101, LAS100, GERM101, MATH181, SPAN101
295, SPAN300, MUS101, CHEM110, ENGL212, PG102, PHYS121
296, CLSC211, PSYC101, JAPN101, IPE201, CHIN101, SPAN204
297, PG101, SPAN300, LAS100, ECON170, ARTH276, PSYC101
298, ARTS101, BUS101, MATH160, HIST291, CHEM110, HIST230
299, CLSC211, MATH180, MUS105, PG104, CHEM110, CHEM250
300, BIOL111, JAPN101, FREN101, MATH280, SPAN101, PHYS121
301, SPAN300, ECON170, MUS101, PG102, MATH180, MATH160
302, CHEM110, MATH160, MATH280, ENGL235, MUS103, PHIL101
303, CHEM110, PG103, PHIL101, GEOL101, SPAN201, SOAN101
304, MUS103, JAPN201, ENGL212, COMM181, CHEM110, PG103
305, CHIN201, BUS101, ECON170, SOAN101, PG103, IPE201
306, PSYC101, BIOL111, CHEM115, MATH160, ECON170, GEOL101
307, BUS101, PHYS221, MATH160, MUS103, PG104, CHEM110
308, GEOL101, CSCI161, MATH160, ECON170, PHYS109, COMM170
309, GEOL101, SOAN101, MATH160, ECON170, CWLT100, MATH180
310, ARTS101, ECON170, PG102, CHEM110, JAPN101, AFAM101
311, ENGL245, COMM170, COMM181, ECON170, MATH160, SPAN201
312, COMM170, ENVR101, SPAN101, BIOL111, ARTS147, MATH160
313, FREN210, MATH180, REL201, PHIL281, SOAN101, ECON170
314, GERM201, ECON170, MUS103, MATH180, MATH160, ARTS101
315, CLSC211, MATH180, CHEM110, PSYC101, LAT101, MATH160
316, ARTS101, MUS126, CHEM115, MATH280, MATH180, ECON170
317, PG104, MATH180, PG103, JAPN101, ENVR101, ARTS147
318, ECON170, MATH160, FREN201, CHEM110, IPE191, PSYC101
319, HIST291, MATH160, CHEM115, CLSC211, MATH290, SOAN101
320, GEOL101, MATH180, ENGL245, HIST291, PSYC101, MATH160
321, BIOL111, COMM156, ARAB101, SPAN101, MATH160, MUS101
322, MATH180, CHEM110, SPAN201, SPAN101, IPE191, AFAM101
323, PHIL101, BIOL111, PSYC101, PG101, SPAN201, MATH180
324, LTS200, CSCI161, MATH160, FREN240, CHEM110, CHEM115
325, ECON170, CHEM110, PHYS109, MUS103, BIOL111, MUS105
326, ENVR101, PHYS121, BIOL111, CHEM110, MUS101, ECON170
327, CHIN201, ALC225, HIST230, ARAB201, PG101, CHEM110
328, PG101, BIOL112, GQS291, JAPN301, CHEM110, PHIL101
329, CHEM250, REL204, CSCI161, ENVR101, BIOL111, PG101
330, SPAN101, MATH160, CHEM110, ECON170, PG102, JAPN301
331, ENGL212, CHEM110, PG103, JAPN301, MUS101, SOAN101
332, SOAN101, MATH160, PHYS111, MATH290, ENGL212, CHEM110
333, COMM181, PHYS121, LAT101, ECON170, SOAN101, MUS105
334, MUS235, AFAM101, HIST230, MATH180, SPAN101, GQS201
335, PSYC101, OT101, IPE201, BUS101, MATH160, MATH180
336, FREN240, FREN210, MUS126, SOAN101, PSYC101, HIST245
337, BIOL111, ENGL220, CWLT100, MATH180, CHEM110, COMM170
338, MATH260, SPAN101, BIOL111, PG102, ARAB101, CWLT100
339, CHEM110, BIOL111, SOAN101, ENGL212, ENVR101, PG101
340, MUS103, IPE201, STS201, OT101, ENGL220, ECON170
341, CHIN101, ECON170, LAT101, CHEM110, BIOL111, MATH160
342, IPE201, AFAM101, SPAN101, PHYS121, MUS103, LTS200
343, SOAN101, SPAN201, FREN201, LAS100, HIST224, MUS230
344, MATH280, CHEM110, MATH160, MUS105, OT101, SOAN101
345, CHEM110, CSCI161, FREN101, MUS103, FREN210, BIOL111
346, MATH160, MATH180, PG102, CHEM110, IPE201, PG103
347, MATH160, CHEM110, FREN101, ECON170, SPAN203, OT101
348, GRK101, MATH180, SPAN204, CHEM110, HIST153, BUS101
349, PG103, GERM101, SOAN101, MATH180, PG101, PG102
350, BIOL111, SPAN201, CHEM110, SPAN101, SPAN204, PG102
351, MATH181, BIOL111, ECON170, GERM101, MATH260, CHEM250
352, CHEM110, CHEM115, MATH180, SPAN201, PSYC101, MATH260
353, PG101, PG102, PG103, IPE201, SPAN101, MATH260
354, PHIL224, HIST153, MUS101, CHEM110, MATH280, SPAN201
355, MATH180, HIST153, PG101, MATH280, PG104, SOAN101
356, SOAN101, JAPN101, ARTH276, GERM201, BIOL111, PG101
357, ECON170, FREN101, CHEM110, SOAN101, SPAN201, SPAN101
358, GERM101, SPAN101, ECON170, LAS100, HIST153, MATH160
359, CHEM250, HIST245, CHEM110, SPAN101, CSCI161, PG103
360, LAT101, IPE201, CSCI161, GQS201, ENGL212, MATH180
361, CSCI161, MATH160, ECON170, CHEM110, MATH280, PG101
362, MUS105, GQS201, SPAN101, PG104, CSCI161, CHEM110
363, CHEM110, COMM181, SPAN201, BUS101, PG102, PHIL224
364, PHIL101, PSYC101, CHEM110, ARAB101, ENGL199, CHEM115
365, PHIL101, MATH180, BIOL111, FREN101, ECON170, PHIL224
366, LTS200, CHEM110, SPAN201, SOAN101, BUS101, BIOL111
367, JAPN101, SPAN101, MATH160, GEOL101, ENGL212, ECON170
368, IPE201, ECON170, THAI101, BIOL112, FREN210, MATH160
369, SPAN101, PHYS121, CSCI161, PHIL215, CHEM110, SPAN300
370, MUS105, CHEM110, AFAM101, MUS103, OT101, GERM101
371, CHEM115, SPAN201, ECON170, MATH260, JAPN101, MATH180
372, GERM101, ECON170, HIST230, SPAN101, IPE201, LAT101
373, AFAM210, LAS100, OT101, SOAN101, GRK101, STS201
374, PHYS109, MATH160, CHEM115, SOAN101, CHEM110, SPAN203
375, PHIL101, LAS100, BIOL111, PHYS121, PG103, CHEM115
376, FREN201, MATH180, MUS126, PHYS109, CHEM110, GERM101
377, PG101, HIST102, CHEM110, LAS100, MUS103, ECON170
378, ENGL220, BIOL111, CHEM110, GERM101, PG104, FREN201
379, MATH181, PHIL101, STS201, BIOL111, LAT101, COMM170
380, MATH160, GRK101, ECON170, MATH181, SPAN201, PHIL101
381, MATH160, CSCI161, CHEM110, FREN201, SPAN201, PG103
382, CHIN201, PHIL281, JAPN201, MATH260, BUS101, LAT101
383, SPAN101, SPAN201, BIOL111, MUS105, REL211, CHEM115
384, ARTH276, ENGL212, CHEM110, PSYC101, AFAM210, GERM101
385, GEOL101, MUS235, ENGL212, PG103, PG104, SPAN101
386, MATH160, MUS101, PHYS111, IPE191, GERM201, MATH180
387, PHIL101, IPE201, PG101, ECON170, BUS101, THAI101
388, MATH180, GEOL101, COMM170, MUS103, SPAN101, MATH160
389, ENGL199, ECON170, IPE201, LAT101, BUS101, PHYS109
390, PG101, MATH160, ARAB101, COMM170, CLSC211, SPAN101
391, MATH160, BIOL112, PG103, SOAN102, JAPN301, LTS200
392, PG104, BIOL112, SPAN210, IPE201, BIOL111, BUS101
393, AFAM101, ARTS101, SPAN101, MUS126, PG101, CSCI261
394, COMM170, SPAN101, SPAN300, SPAN201, CHEM110, MATH180
395, PHIL101, ARTS147, PSYC101, BUS101, HIST102, PHYS121
396, FREN201, CHEM110, BIOL111, PHYS121, MATH181, PHIL224
397, PHIL101, MATH160, ECON170, CHEM110, CLSC211, PSYC101
398, ECON170, CHEM110, FREN201, PG101, HIST102, HIST153
399, SOAN101, HIST153, CSCI161, LAS100, CHEM115, GERM101
400, GRK101, MATH180, CWLT100, FREN101, MUS105, REL201
401, COMM170, SPAN201, REL204, SPAN203, SPAN101, CHEM115
402, ARTS147, ECON170, MUS103, MUS126, SPAN203, BIOL111
403, SPAN204, MUS101, SOAN102, LAT101, MATH280, PG101
404, PSYC101, REL204, IPE191, SPAN201, SOAN101, CHEM115
405, PSYC101, CHEM110, MATH160, PHYS121, MATH180, ENGL212
