CSID,Question,Text,Rank
2493334,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,4
2493334,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,5
2493334,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,6
2493618,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,1
2493618,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,2
2493618,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",3
2493618,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",4
2493618,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,5
2493618,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,6
2494170,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,1
2494170,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,2
2494170,Seminar in Scholarly Inquiry 1,SSI-1 135: Hurricane Katrina and the History of New Orleans,3
2494170,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,4
2494170,Seminar in Scholarly Inquiry 1,SSI-1 129: Mao's China -- A Country in Revolution,5
2494170,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,6
2494265,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,1
2494265,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,2
2494265,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
2494265,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,4
2494265,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,5
2494265,Seminar in Scholarly Inquiry 1,SSI-1 195: Honors - New World Rhetorics,6
2494400,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,1
2494400,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",2
2494400,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,3
2494400,Seminar in Scholarly Inquiry 1,SSI-1 190: Translation on Stage - Language Culture and Genre",4
2494400,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,5
2494400,Seminar in Scholarly Inquiry 1,SSI-1 138: Theatre and Comedy: Drama History and Theory from Aristophanes to the Absurd",6
2495833,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",1
2495833,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,2
2495833,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,3
2495833,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,4
2495833,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,5
2495833,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,6
2497518,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,1
2497518,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,2
2497518,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,3
2497518,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,4
2497518,Seminar in Scholarly Inquiry 1,SSI-1 172: The Scientific and Romantic Revolutions (RS),5
2497518,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,6
2497592,Seminar in Scholarly Inquiry 1,SSI-1 190: Translation on Stage - Language Culture and Genre",1
2497592,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,2
2497592,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
2497592,Seminar in Scholarly Inquiry 1,SSI-1 195: Honors - New World Rhetorics,4
2497592,Seminar in Scholarly Inquiry 1,SSI-1 172: The Scientific and Romantic Revolutions (RS),5
2497592,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,6
2497934,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",1
2497934,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,2
2497934,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,3
2497934,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,4
2497934,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,5
2497934,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,6
2498564,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,1
2498564,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",2
2498564,Seminar in Scholarly Inquiry 1,SSI-1 144: Constitutional Controversies,3
2498564,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,4
2498564,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,5
2498564,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,6
6728037,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,1
6728037,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",2
6728037,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,3
6728037,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,4
6728037,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,5
6728037,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,6
6728098,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,1
6728098,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,2
6728098,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
6728098,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,4
6728098,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,5
6728098,Seminar in Scholarly Inquiry 1,SSI-1 172: The Scientific and Romantic Revolutions (RS),6
6728218,Seminar in Scholarly Inquiry 1,SSI-1 138: Theatre and Comedy: Drama History and Theory from Aristophanes to the Absurd",1
6728218,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",2
6728218,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,3
6728218,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,4
6728218,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,5
6728218,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,6
6729553,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,1
6729553,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,2
6729553,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,3
6729553,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,4
6729553,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,5
6729553,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,6
6729630,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,1
6729630,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,2
6729630,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,3
6729630,Seminar in Scholarly Inquiry 1,SSI-1 144: Constitutional Controversies,4
6729630,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,5
6729630,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,6
6730041,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,1
6730041,Seminar in Scholarly Inquiry 1,SSI-1 190: Translation on Stage - Language Culture and Genre",2
6730041,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,3
6730041,Seminar in Scholarly Inquiry 1,SSI-1 138: Theatre and Comedy: Drama History and Theory from Aristophanes to the Absurd",4
6730041,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,5
6730041,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,6
6730092,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",1
6730092,Seminar in Scholarly Inquiry 1,SSI-1 129: Mao's China -- A Country in Revolution,2
6730092,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,3
6730092,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,4
6730092,Seminar in Scholarly Inquiry 1,SSI-1 135: Hurricane Katrina and the History of New Orleans,5
6730092,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,6
6730097,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,1
6730097,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,2
6730097,Seminar in Scholarly Inquiry 1,SSI-1 190: Translation on Stage - Language Culture and Genre",3
6730097,Seminar in Scholarly Inquiry 1,SSI-1 181: Science and Theater,4
6730097,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,5
6730097,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,6
6730122,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,1
6730122,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,2
6730122,Seminar in Scholarly Inquiry 1,SSI-1 129: Mao's China -- A Country in Revolution,3
6730122,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,4
6730122,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,5
6730122,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,6
6730193,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,1
6730193,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,2
6730193,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",3
6730193,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,4
6730193,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,5
6730193,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,6
6730214,Seminar in Scholarly Inquiry 1,SSI-1 138: Theatre and Comedy: Drama History and Theory from Aristophanes to the Absurd",1
6730214,Seminar in Scholarly Inquiry 1,SSI-1 144: Constitutional Controversies,2
6730214,Seminar in Scholarly Inquiry 1,SSI-1 181: Science and Theater,3
6730214,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,4
6730214,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,5
6730214,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,6
6730272,Seminar in Scholarly Inquiry 1,SSI-1 181: Science and Theater,1
6730272,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,2
6730272,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,3
6730272,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,4
6730272,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,5
6730272,Seminar in Scholarly Inquiry 1,SSI-1 176: American Autobiography from Franklin to Facebook,6
6730276,Seminar in Scholarly Inquiry 1,SSI-1 135: Hurricane Katrina and the History of New Orleans,1
6730276,Seminar in Scholarly Inquiry 1,SSI-1 160: Dilemmas of Statecraft,2
6730276,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,3
6730276,Seminar in Scholarly Inquiry 1,SSI-1 172: The Scientific and Romantic Revolutions (RS),4
6730276,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,5
6730276,Seminar in Scholarly Inquiry 1,SSI-1 129: Mao's China -- A Country in Revolution,6
6730541,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,1
6730541,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,2
6730541,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,3
6730541,Seminar in Scholarly Inquiry 1,SSI-1 135: Hurricane Katrina and the History of New Orleans,4
6730541,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,5
6730541,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,6
6730616,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,1
6730616,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,2
6730616,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,3
6730616,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,4
6730616,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",5
6730616,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,6
6730682,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,1
6730682,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,2
6730682,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,3
6730682,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,4
6730682,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",5
6730682,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,6
6730700,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,1
6730700,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,2
6730700,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,3
6730700,Seminar in Scholarly Inquiry 1,SSI-1 181: Science and Theater,4
6730700,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,5
6730700,Seminar in Scholarly Inquiry 1,SSI-1 138: Theatre and Comedy: Drama History and Theory from Aristophanes to the Absurd",6
6730910,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,1
6730910,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,2
6730910,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,3
6730910,Seminar in Scholarly Inquiry 1,SSI-1 143: Controversies of Communication and Technology,4
6730910,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,5
6730910,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",6
6731138,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,1
6731138,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",2
6731138,Seminar in Scholarly Inquiry 1,SSI-1 129: Mao's China -- A Country in Revolution,3
6731138,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,4
6731138,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,5
6731138,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,6
6731185,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,1
6731185,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,2
6731185,Seminar in Scholarly Inquiry 1,SSI-1 181: Science and Theater,3
6731185,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,4
6731185,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",5
6731185,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,6
6731242,Seminar in Scholarly Inquiry 1,SSI-1 135: Hurricane Katrina and the History of New Orleans,1
6731242,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,2
6731242,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
6731242,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,4
6731242,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",5
6731242,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,6
6731286,Seminar in Scholarly Inquiry 1,SSI-1 176: American Autobiography from Franklin to Facebook,1
6731286,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,2
6731286,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,3
6731286,Seminar in Scholarly Inquiry 1,SSI-1 112: Salsa Samba and Soccer: Popular Culture in Latin America",4
6731286,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,5
6731286,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,6
6731381,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,1
6731381,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,2
6731381,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,3
6731381,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,4
6731381,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,5
6731381,Seminar in Scholarly Inquiry 1,SSI-1 176: American Autobiography from Franklin to Facebook,6
6731390,Seminar in Scholarly Inquiry 1,SSI-1 175: Utopia and the imagination,1
6731390,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,2
6731390,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,3
6731390,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",4
6731390,Seminar in Scholarly Inquiry 1,SSI-1 115: Imaging Blackness,5
6731390,Seminar in Scholarly Inquiry 1,SSI-1 134: Dreams and Desire: The Liminal World,6
6731498,Seminar in Scholarly Inquiry 1,SSI-1 165: Never Really Alone: Symbioses and Parasitism Around and Within Us,1
6731498,Seminar in Scholarly Inquiry 1,SSI-1 141: Architectures of Power,2
6731498,Seminar in Scholarly Inquiry 1,SSI-1 118: Doing Gender,3
6731498,Seminar in Scholarly Inquiry 1,SSI-1 174: Lethal Othering: Critiquing Genocidal Prejudice,4
6731498,Seminar in Scholarly Inquiry 1,SSI-1 171: Medical Discourse and the Body,5
6731498,Seminar in Scholarly Inquiry 1,SSI-1 195: Honors - New World Rhetorics,6
6731540,Seminar in Scholarly Inquiry 1,SSI-1 128: The Philosophy and Science of Human Nature,1
6731540,Seminar in Scholarly Inquiry 1,SSI-1 117: People Plants and Animals",2
6731540,Seminar in Scholarly Inquiry 1,SSI-1 108: Empowering Technologies -- Energy in the 21st Century,3
6731540,Seminar in Scholarly Inquiry 1,SSI-1 179: Women and Power in Byzantium,4
6731540,Seminar in Scholarly Inquiry 1,SSI-1 177: Marriage in History and Literature: An Inquiry into What This Institution is For,5
6731540,Seminar in Scholarly Inquiry 1,SSI-1 104: Travel Writing and The Other,6
6731552,Seminar in Scholarly Inquiry 1,SSI-1 124: Utopia/Dystopia,1
6731552,Seminar in Scholarly Inquiry 1,SSI-1 139: The Third Wave: Rock After the Beatles,2
