Class Nbr,Dept,Crs,Sc,Title,Limit,Enrld,W/L,CO,Type,Units,Days,Times,Facil ID,Component,Term,Session,Advising
8054,BIOL, 111,AC,Unity of Life,16,13,0,NS,N,0.00,_M_____,18.00- 20.50,HA-251,LAB,2015 Fall,FUL,
8055,BIOL, 111,B,Unity of Life,48,41,0,NS,E,1.00,_M_W_F_,10.00- 10.50,TH-395,LEC,2015 Fall,FUL,Y
8056,BIOL, 111,BA,Unity of Life,16,14,0,NS,N,0.00,_M_____,13.00- 15.50,HA-251,LAB,2015 Fall,FUL,
8057,BIOL, 111,BB,Unity of Life,16,13,0,NS,N,0.00,__T____,18.00- 20.50,HA-251,LAB,2015 Fall,FUL,
8058,BIOL, 111,BC,Unity of Life,16,14,0,NS,N,0.00,___W___,13.00- 15.50,HA-251,LAB,2015 Fall,FUL,
8059,BIOL, 111,C,Unity of Life,48,45,0,NS,E,1.00,_M_W_F_,11.00- 11.50,TH-193,LEC,2015 Fall,FUL,Y
8060,BIOL, 111,CA,Unity of Life,16,16,0,NS,N,0.00,____T__,09.00- 11.50,HA-251,LAB,2015 Fall,FUL,
8061,BIOL, 111,CB,Unity of Life,16,15,0,NS,N,0.00,____T__,13.00- 15.50,HA-251,LAB,2015 Fall,FUL,
8062,BIOL, 111,CC,Unity of Life,16,14,0,NS,N,0.00,_____F_,13.00- 15.50,HA-251,LAB,2015 Fall,FUL,
8063,BIOL, 112,A,Diversity of Life,32,29,0,NS,E,1.00,_M_W_F_,10.00- 10.50,TH-193,LEC,2015 Fall,FUL,Y
8064,BIOL, 112,AA,Diversity of Life,16,14,0,NS,N,0.00,_M_____,13.00- 15.50,HA-245,LAB,2015 Fall,FUL,
8065,BIOL, 112,AB,Diversity of Life,16,15,0,NS,N,0.00,__T____,13.00- 15.50,HA-245,LAB,2015 Fall,FUL,
8066,BIOL, 112,AC,Diversity of Life,0,0,0,NS,N,0.00,_______,-,,LAB,2015 Fall,FUL,
11183,BIOL, 112,B,Diversity of Life,32,29,0,NS,E,1.00,_M_W_F_,10.00- 10.50,TH-383,LEC,2015 Fall,FUL,
11184,BIOL, 112,BA,Diversity of Life,16,16,0,NS,N,0.00,___W___,13.00- 15.50,HA-245,LAB,2015 Fall,FUL,
11185,BIOL, 112,BB,Diversity of Life,16,13,0,NS,N,0.00,____T__,13.00- 15.50,HA-245,LAB,2015 Fall,FUL,
8002,CHEM, 110,A,General Chemistry I,36,34,0,NS,E,1.00,_MT_TF_,08.00- 08.50,TH-387,LEC,2015 Fall,FUL,
8092,CHEM, 110,AA,General Chemistry I,18,16,0,NS,N,0.00,___W___,13.00- 15.50,HA-347,LAB,2015 Fall,FUL,
8093,CHEM, 110,AB,General Chemistry I,18,16,0,NS,N,0.00,___W___,18.00- 20.50,HA-351,LAB,2015 Fall,FUL,
8094,CHEM, 110,B,General Chemistry I,36,32,0,NS,E,1.00,_MT_TF_,08.00- 08.50,TH-310,LEC,2015 Fall,FUL,
8095,CHEM, 110,BA,General Chemistry I,18,17,0,NS,N,0.00,___W___,14.00- 16.50,HA-351,LAB,2015 Fall,FUL,
8096,CHEM, 110,BB,General Chemistry I,18,16,0,NS,N,0.00,____T__,13.00- 15.50,HA-351,LAB,2015 Fall,FUL,
8097,CHEM, 110,C,General Chemistry I,36,30,0,NS,E,1.00,_MT_TF_,10.00- 10.50,TH-387,LEC,2015 Fall,FUL,
8098,CHEM, 110,CA,General Chemistry I,18,17,0,NS,N,0.00,_M_____,18.00- 20.50,HA-347,LAB,2015 Fall,FUL,
8099,CHEM, 110,CB,General Chemistry I,18,11,0,NS,N,0.00,__T____,13.00- 15.50,HA-347,LAB,2015 Fall,FUL,
8100,CHEM, 110,D,General Chemistry I,36,27,0,NS,E,1.00,_MT_TF_,11.00- 11.50,TH-310,LEC,2015 Fall,FUL,
8101,CHEM, 110,DA,General Chemistry I,18,15,0,NS,N,0.00,____T__,18.00- 20.50,HA-351,LAB,2015 Fall,FUL,
8102,CHEM, 110,DB,General Chemistry I,18,14,0,NS,N,0.00,_____F_,13.00- 15.50,HA-351,LAB,2015 Fall,FUL,
8103,CHEM, 110,E,General Chemistry I,36,32,0,NS,E,1.00,_M___F_,12.00- 12.50,TH-387,LEC,2015 Fall,FUL,Y
8103,CHEM, 110,E,General Chemistry I,36,32,0,NS,E,1.00,__T_T__,12.30- 13.20,TH-387,LEC,2015 Fall,FUL,Y
8104,CHEM, 110,EA,General Chemistry I,18,16,0,NS,N,0.00,____T__,18.00- 20.50,HA-347,LAB,2015 Fall,FUL,
8105,CHEM, 110,EB,General Chemistry I,18,15,0,NS,N,0.00,_____F_,14.00- 16.50,HA-347,LAB,2015 Fall,FUL,
8544,CHEM, 110,F,General Chemistry I,36,33,0,NS,E,1.00,_M___F_,12.00- 12.50,TH-310,LEC,2015 Fall,FUL,
8544,CHEM, 110,F,General Chemistry I,36,33,0,NS,E,1.00,__T_T__,12.30- 13.20,TH-310,LEC,2015 Fall,FUL,
8545,CHEM, 110,FA,General Chemistry I,18,15,0,NS,N,0.00,_M_____,14.00- 16.50,HA-347,LAB,2015 Fall,FUL,
8543,CHEM, 110,FB,General Chemistry I,18,18,0,NS,N,0.00,__T____,18.00- 20.50,HA-347,LAB,2015 Fall,FUL,
9273,CHEM, 110,G,General Chemistry I,36,36,0,NS,E,1.00,_M___F_,09.00- 09.50,TH-310,LEC,2015 Fall,FUL,
9273,CHEM, 110,G,General Chemistry I,36,36,0,NS,E,1.00,__T_T__,09.30- 10.20,TH-310,LEC,2015 Fall,FUL,
9274,CHEM, 110,GA,General Chemistry I,18,18,0,NS,N,0.00,___W___,18.00- 20.50,HA-347,LAB,2015 Fall,FUL,
9275,CHEM, 110,GB,General Chemistry I,18,19,0,NS,N,0.00,____T__,13.00- 15.50,HA-347,LAB,2015 Fall,FUL,
8106,CHEM, 115,A,Integrated Chemical Principles,36,35,0,NS,E,1.00,_MT_TF_,11.00- 11.50,TH-387,LEC,2015 Fall,FUL,Y
8107,CHEM, 115,AA,Integrated Chemical Principles,18,18,0,NS,N,0.00,_M_____,14.00- 16.50,HA-351,LAB,2015 Fall,FUL,Y?
8108,CHEM, 115,AB,Integrated Chemical Principles,18,17,0,NS,N,0.00,__T____,13.00- 15.50,HA-351,LAB,2015 Fall,FUL,
8109,CHEM, 250,A,Organic Chemistry I,36,37,2,NS,E,1.00,_M___F_,08.00- 08.50,TH-383,LEC,2015 Fall,FUL,
8109,CHEM, 250,A,Organic Chemistry I,36,37,2,NS,E,1.00,__T_T__,08.00- 08.50,TH-175,LEC,2015 Fall,FUL,
8110,CHEM, 250,B,Organic Chemistry I,36,38,4,NS,E,1.00,_MT_TF_,08.00- 08.50,TH-395,LEC,2015 Fall,FUL,
8111,CHEM, 250,C,Organic Chemistry I,36,38,0,NS,E,1.00,_MT_TF_,08.00- 08.50,TH-193,LEC,2015 Fall,FUL,
10978,CHEM, 250,D,Organic Chemistry I,36,29,0,NS,E,1.00,_M___F_,09.00- 09.50,TH-391,LEC,2015 Fall,FUL,
10978,CHEM, 250,D,Organic Chemistry I,36,29,0,NS,E,1.00,__T_T__,08.30- 09.20,TH-383,LEC,2015 Fall,FUL,
8112,CHEM, 250,DD,Organic Chemistry I,16,16,0,NS,N,0.00,_M_____,13.00- 16.50,HA-339,LAB,2015 Fall,FUL,
8113,CHEM, 250,EE,Organic Chemistry I,16,16,0,NS,N,0.00,__T____,13.00- 16.50,HA-339,LAB,2015 Fall,FUL,
8113,CHEM, 250,EE,Organic Chemistry I,16,16,0,NS,N,0.00,__T____,13.00- 16.50,HA-339,LAB,2015 Fall,FUL,
8114,CHEM, 250,FF,Organic Chemistry I,16,15,0,NS,N,0.00,__T____,18.00- 21.50,HA-339,LAB,2015 Fall,FUL,
8114,CHEM, 250,FF,Organic Chemistry I,16,15,0,NS,N,0.00,__T____,18.00- 21.50,HA-339,LAB,2015 Fall,FUL,
8115,CHEM, 250,GG,Organic Chemistry I,16,16,1,NS,N,0.00,___W___,13.00- 16.50,HA-339,LAB,2015 Fall,FUL,
8115,CHEM, 250,GG,Organic Chemistry I,16,16,1,NS,N,0.00,___W___,13.00- 16.50,HA-339,LAB,2015 Fall,FUL,
8116,CHEM, 250,HH,Organic Chemistry I,16,16,0,NS,N,0.00,___W___,18.00- 21.50,HA-339,LAB,2015 Fall,FUL,
8117,CHEM, 250,II,Organic Chemistry I,16,16,0,NS,N,0.00,____T__,12.00- 15.50,HA-339,LAB,2015 Fall,FUL,
8118,CHEM, 250,JJ,Organic Chemistry I,16,16,0,NS,N,0.00,____T__,18.00- 21.50,HA-339,LAB,2015 Fall,FUL,
8118,CHEM, 250,JJ,Organic Chemistry I,16,16,0,NS,N,0.00,____T__,18.00- 21.50,HA-339,LAB,2015 Fall,FUL,
8524,CHEM, 250,KK,Organic Chemistry I,16,11,0,NS,N,0.00,_____F_,13.00- 16.50,HA-339,LAB,2015 Fall,FUL,
8524,CHEM, 250,KK,Organic Chemistry I,16,11,0,NS,N,0.00,_____F_,13.00- 16.50,HA-339,LAB,2015 Fall,FUL,
10979,CHEM, 250,LL,Organic Chemistry I,16,15,0,NS,N,0.00,_M_____,18.00- 21.50,HA-339,LAB,2015 Fall,FUL,
10979,CHEM, 250,LL,Organic Chemistry I,16,15,0,NS,N,0.00,_M_____,18.00- 21.50,HA-339,LAB,2015 Fall,FUL,
10980,CHEM, 250,MM,Organic Chemistry I,16,5,0,NS,N,0.00,___W___,08.00- 11.50,HA-339,LAB,2015 Fall,FUL,
10980,CHEM, 250,MM,Organic Chemistry I,16,5,0,NS,N,0.00,___W___,08.00- 11.50,HA-339,LAB,2015 Fall,FUL,
8017,CHIN, 101,A,First Year Chinese,22,15,0,FL,E,1.00,_M_W_F_,09.00- 09.50,WY-209,LEC,2015 Fall,FUL,Y
8018,CHIN, 101,B,First Year Chinese,22,14,0,FL,E,1.00,_M_W_F_,11.00- 11.50,WY-209,LEC,2015 Fall,FUL,
8478,CHIN, 101,CC,First Year Chinese,22,17,0,FL,N,0.00,__T____,11.00- 11.50,WY-209,DIS,2015 Fall,FUL,
8479,CHIN, 101,DD,First Year Chinese,22,12,0,FL,N,0.00,__T____,12.30- 13.20,WY-209,DIS,2015 Fall,FUL,
8019,CHIN, 201,A,Second Year Chinese,22,17,0,FL,E,1.00,_M_W_F_,12.00- 12.50,WY-209,LEC,2015 Fall,FUL,
11152,CHIN, 201,B,Second Year Chinese,22,10,0,FL,E,1.00,_M_W_F_,13.00- 13.50,CO-272,LEC,2015 Fall,FUL,
8480,CHIN, 201,CC,Second Year Chinese,5,5,0,FL,N,0.00,_M_____,15.00- 15.50,CO-381,DIS,2015 Fall,FUL,
11234,CHIN, 201,DD,Second Year Chinese,5,4,0,FL,N,0.00,__T____,08.30- 09.20,CO-381,DIS,2015 Fall,FUL,
11235,CHIN, 201,EE,Second Year Chinese,5,4,0,FL,N,0.00,__T____,09.30- 10.20,CO-381,DIS,2015 Fall,FUL,
11236,CHIN, 201,FF,Second Year Chinese,5,5,0,FL,N,0.00,__T____,14.00- 14.50,CO-381,DIS,2015 Fall,FUL,
11237,CHIN, 201,GG,Second Year Chinese,5,5,0,FL,N,0.00,__T____,15.00- 15.50,CO-381,DIS,2015 Fall,FUL,
11238,CHIN, 201,HH,Second Year Chinese,5,4,0,FL,N,0.00,___W___,15.00- 15.50,CO-381,DIS,2015 Fall,FUL,
11112,CHIN, 230,A,Grammar and Articulation,20,17,0,FL,E,1.00,__T_T__,15.30- 16.50,WY-209,LEC,2015 Fall,FUL,
10622,CLSC, 211,A,Greek History,28,29,0,HM,E,1.00,_M_W_F_,09.00- 09.50,WY-301,LEC,2015 Fall,FUL,Y
10624,CLSC, 231,A,Greek and Roman Epic,28,16,0,HM,E,1.00,_M_W_F_,15.00- 15.50,WY-301,LEC,2015 Fall,FUL,
10907,COMM, 156,A,Intro Interpersonal Comm,28,28,0,SL,E,1.00,_M_W_F_,12.00- 12.50,MC-309,LEC,2015 Fall,FUL,
8033,COMM, 170,A,Intro Media Studies: Torture,28,28,0,HM,E,1.00,__T_T__,12.30- 13.50,CO-272,LEC,2015 Fall,FUL,Y
8698,COMM, 181,A,Intro Online Communication,28,28,0,SL,E,1.00,__T_T__,09.30- 10.50,HO-203,LEC,2015 Fall,FUL,
8034,COMM, 292,A,Forensics,20,9,0,,E,0.25,___W___,16.30- 18.30,JO-302,LEC,2015 Fall,FUL,
8024,CRDV, 203,A,Career Awareness,20,21,2,,E,0.50,__T____,15.30- 16.50,WY-201,LEC,2015 Fall,FUL,
8220,CSCI, 161,A,Intro to Computer Science,24,23,0,MA,E,1.00,_M_W_F_,09.00- 09.50,TH-409,LEC,2015 Fall,FUL,
8221,CSCI, 161,AA,Intro to Computer Science,24,22,0,MA,N,0.00,____T__,09.00- 10.50,TH-409,LAB,2015 Fall,FUL,
8222,CSCI, 161,B,Intro to Computer Science,24,26,0,MA,E,1.00,_M_W_F_,10.00- 10.50,TH-409,LEC,2015 Fall,FUL,Y
8223,CSCI, 161,BA,Intro to Computer Science,24,23,0,MA,N,0.00,____T__,11.00- 12.50,TH-409,LAB,2015 Fall,FUL,
8224,CSCI, 161,C,Intro to Computer Science,24,25,0,MA,E,1.00,_M_W_F_,11.00- 11.50,TH-409,LEC,2015 Fall,FUL,
8225,CSCI, 161,CA,Intro to Computer Science,26,29,0,MA,N,0.00,____T__,13.00- 14.50,TH-409,LAB,2015 Fall,FUL,
8226,CSCI, 240,A,Software Engineering,24,26,0,,E,1.00,_M_W_F_,14.00- 14.50,TH-387,LEC,2015 Fall,FUL,
8227,CSCI, 261,A,Computer Science II,24,25,1,MA,E,1.00,_M_W_F_,11.00- 11.50,TH-399,LEC,2015 Fall,FUL,
8228,CSCI, 261,AA,Computer Science II,24,25,1,MA,N,0.00,__T____,11.00- 12.50,TH-409,LAB,2015 Fall,FUL,
8369,CWLT, 100,A,Strategies for College Reading,12,11,0,,E,0.25,__T____,15.00- 15.50,JO-206,LEC,2015 Fall,FUL,
11189,CWLT, 100,B,Strategies for College Reading,12,11,0,,E,0.25,____T__,15.00- 15.50,JO-206,LEC,2015 Fall,FUL,
8123,ECON, 170,A,Contemporary Economics,20,21,0,SL,E,1.00,__T_T__,09.30- 10.50,JO-208,LEC,2015 Fall,FUL,Y
8124,ECON, 170,B,Contemporary Economics,28,23,0,SL,E,1.00,_M_W_F_,10.00- 10.50,MC-203,LEC,2015 Fall,FUL,
8125,ECON, 170,C,Contemporary Economics,28,28,0,SL,E,1.00,_M_W_F_,10.00- 10.50,WY-307,LEC,2015 Fall,FUL,
8126,ECON, 170,D,Contemporary Economics,28,28,0,SL,E,1.00,_M_W_F_,11.00- 11.50,MC-203,LEC,2015 Fall,FUL,
8127,ECON, 170,E,Contemporary Economics,28,27,0,SL,E,1.00,__T_T__,12.30- 13.50,MC-202,LEC,2015 Fall,FUL,
8128,ECON, 170,F,Contemporary Economics,28,28,0,SL,E,1.00,_M_W_F_,13.00- 13.50,MC-203,LEC,2015 Fall,FUL,
8129,ECON, 170,G,Contemporary Economics,20,20,0,SL,E,1.00,___W_F_,14.00- 15.20,MC-203,LEC,2015 Fall,FUL,Y
8130,ECON, 218,A,American Economic History,25,22,0,,E,1.00,_M_W_F_,11.00- 11.50,MC-202,LEC,2015 Fall,FUL,
10950,ECON, 270,A,Economics of Money & Banking,25,25,0,,E,1.00,__T_T__,09.30- 10.50,MC-309,LEC,2015 Fall,FUL,
10951,ECON, 271,A,International Economics,25,26,0,,E,1.00,__T_T__,12.30- 13.50,MC-303,LEC,2015 Fall,FUL,
10953,ECON, 291,A,Behavioral Economics,25,24,0,,E,1.00,__T_T__,09.30- 10.50,MC-202,LEC,2015 Fall,FUL,
11006,EDUC, 290,A,Schools and Masculinities,28,25,0,,E,0.25,__T____,10.00- 10.50,HO-011,LEC,2015 Fall,FUL,
9218,ENGL, 199,A,Crosscurrents Review,30,28,0,,E,0.25,____T__,19.00- 20.00,WY-344,LEC,2015 Fall,FUL,
11123,ENGL, 212,A,The Craft of Literature,28,27,0,AR,E,1.00,__T_T__,11.00- 12.20,WY-301,LEC,2015 Fall,FUL,
9237,ENGL, 212,B,The Craft of Literature,28,24,0,AR,E,1.00,_M_W_F_,14.00- 14.50,TH-310,LEC,2015 Fall,FUL,
9260,ENGL, 212,C,The Craft of Literature,28,24,0,AR,E,1.00,_M_W_F_,16.00- 16.50,WY-307,LEC,2015 Fall,FUL,
11115,ENGL, 220,A,Intro to English Studies,20,20,0,,E,1.00,__T_T__,09.30- 10.50,WY-208,LEC,2015 Fall,FUL,
8139,ENGL, 220,B,Intro to English Studies,20,18,0,,E,1.00,_M_W_F_,15.00- 15.50,WY-208,LEC,2015 Fall,FUL,
8135,ENGL, 227,A,Intro to Writing Fiction,20,19,1,,E,1.00,_M_W_F_,14.00- 14.50,WY-306,LEC,2015 Fall,FUL,
11131,ENGL, 227,B,Intro to Writing Fiction,20,18,0,,E,1.00,_M_W_F_,11.00- 11.50,MC-212,LEC,2015 Fall,FUL,
8136,ENGL, 228,A,Intro to Writing Poetry,19,19,0,,E,1.00,__T_T__,09.30- 10.50,WY-107,LEC,2015 Fall,FUL,
11122,ENGL, 228,B,Intro to Writing Poetry,20,21,0,,E,1.00,_M_W_F_,13.00- 13.50,WY-313,LEC,2015 Fall,FUL,
11051,ENGL, 231,B,British Literature I,20,19,2,,E,1.00,_M_W_F_,14.00- 14.50,WY-109,LEC,2015 Fall,FUL,
8665,ENGL, 233,A,British Literature III,20,19,0,,E,1.00,_M_W_F_,11.00- 11.50,HO-203,LEC,2015 Fall,FUL,
8662,ENGL, 234,B,American Literature I,20,13,0,,E,1.00,__T_T__,14.00- 15.20,WY-308,LEC,2015 Fall,FUL,
11114,ENGL, 235,A,American Literature II,20,14,0,,E,1.00,__T_T__,11.00- 12.20,WY-307,LEC,2015 Fall,FUL,
11124,ENGL, 245,A,Shakespeare: Script to Stage,20,16,0,,E,1.00,_M_W_F_,12.00- 12.50,WY-307,LEC,2015 Fall,FUL,
8170,ENVR, 101,A,Intro to the Environment,32,36,1,,E,1.00,__T_T__,11.00- 12.20,TH-391,LEC,2015 Fall,FUL,Y
8170,ENVR, 101,A,Intro to the Environment,32,36,1,,E,1.00,__T_T__,11.00- 12.20,TH-391,LEC,2015 Fall,FUL,Y
8171,ENVR, 101,AA,Intro to the Environment,16,18,1,,N,0.00,__T____,13.30- 16.20,HA-126,LAB,2015 Fall,FUL,Y?
8171,ENVR, 101,AA,Intro to the Environment,16,18,1,,N,0.00,__T____,13.30- 16.20,HA-126,LAB,2015 Fall,FUL,Y?
8172,ENVR, 101,AB,Intro to the Environment,16,18,0,,N,0.00,____T__,13.00- 15.50,HA-126,LAB,2015 Fall,FUL,
8172,ENVR, 101,AB,Intro to the Environment,16,18,0,,N,0.00,____T__,13.00- 15.50,HA-126,LAB,2015 Fall,FUL,
10977,ENVR, 201,A,ENVR Policy Tools & Topics,22,24,0,,E,1.00,_M_____,17.00- 19.50,TH-193,LEC,2015 Fall,FUL,
10977,ENVR, 201,A,ENVR Policy Tools & Topics,22,24,0,,E,1.00,_M_____,17.00- 19.50,TH-193,LEC,2015 Fall,FUL,
8295,EXSC, 200,A,Introductory Research Methods,25,23,0,,E,1.00,__T_T__,12.30- 13.50,WEY-401,LEC,2015 Fall,FUL,
8504,EXSC, 222,A,Human Anatomy,60,47,1,,E,1.00,__T_T__,08.00- 09.20,MC-103,LEC,2015 Fall,FUL,
8296,EXSC, 222,AA,Human Anatomy,15,14,0,,N,0.00,_M_____,08.00- 10.50,HA-227,LAB,2015 Fall,FUL,
8297,EXSC, 222,AB,Human Anatomy,15,13,0,,N,0.00,_M_____,11.00- 13.50,HA-227,LAB,2015 Fall,FUL,
8298,EXSC, 222,AC,Human Anatomy,15,14,1,,N,0.00,_M_____,14.00- 16.50,HA-227,LAB,2015 Fall,FUL,
8538,EXSC, 222,AD,Human Anatomy,15,6,0,,N,0.00,__T____,09.30- 12.20,HA-227,LAB,2015 Fall,FUL,
10964,EXSC, 222,AE,Human Anatomy,0,0,0,,N,0.00,_______,-,,LAB,2015 Fall,FUL,
8232,FREN, 101,A,Beginning French,22,15,0,FL,E,1.00,_MTW_F_,10.00- 10.50,JO-204,LEC,2015 Fall,FUL,
8233,FREN, 101,B,Beginning French,22,22,0,FL,E,1.00,_MTW_F_,11.00- 11.50,JO-204,LEC,2015 Fall,FUL,
8234,FREN, 101,C,Beginning French,22,16,0,FL,E,1.00,_MTW_F_,13.00- 13.50,JO-206,LEC,2015 Fall,FUL,
8542,FREN, 101,D,Beginning French,22,7,0,FL,E,1.00,_M_W_F_,14.00- 14.50,JO-208,LEC,2015 Fall,FUL,
8542,FREN, 101,D,Beginning French,22,7,0,FL,E,1.00,__T____,14.00- 14.50,JO-206,LEC,2015 Fall,FUL,
8235,FREN, 201,A,Intermediate French,20,20,0,FL,E,1.00,_M_W_F_,10.00- 10.50,JO-208,LEC,2015 Fall,FUL,
8236,FREN, 201,B,Intermediate French,19,18,0,FL,E,1.00,_M_W_F_,11.00- 11.50,JO-208,LEC,2015 Fall,FUL,
8237,FREN, 201,C,Intermediate French,20,16,0,FL,E,1.00,_M_W_F_,13.00- 13.50,WY-209,LEC,2015 Fall,FUL,Y
11142,FREN, 205,A,French Current Events,25,7,0,,E,0.25,____T__,17.30- 18.30,CO-380,LEC,2015 Fall,FUL,
8630,FREN, 210,A,Conversational French,20,13,0,,E,1.00,_M_W_F_,12.00- 12.50,WY-203,LEC,2015 Fall,FUL,
10946,FREN, 240,A,French Contemporary Issues,20,12,0,FL,E,1.00,_M_W_F_,10.00- 10.50,WY-208,LEC,2015 Fall,FUL,
10947,FREN, 240,B,French Contemporary Issues,20,10,0,FL,E,1.00,_M_W_F_,11.00- 11.50,WY-208,LEC,2015 Fall,FUL,
10948,FREN, 300,A,Intro to French Literature,20,12,0,,E,1.00,_M_W_F_,14.00- 14.50,WY-208,LEC,2015 Fall,FUL,
8166,GEOL, 101,A,Physical Geology,48,48,4,NS,E,1.00,_M_W_F_,10.00- 10.50,TH-391,LEC,2015 Fall,FUL,Y
8167,GEOL, 101,AA,Physical Geology,16,15,0,NS,N,0.00,__T____,10.00- 11.50,HA-121,LAB,2015 Fall,FUL,Y?
8689,GEOL, 101,AB,Physical Geology,16,17,3,NS,N,0.00,___W___,12.00- 13.50,HA-121,LAB,2015 Fall,FUL,
11153,GEOL, 101,AC,Physical Geology,16,16,2,NS,N,0.00,____T__,10.00- 11.50,HA-121,LAB,2015 Fall,FUL,
8164,GEOL, 101,B,Physical Geology,16,16,0,NS,E,1.00,_M_W_F_,11.00- 11.50,HA-121,LEC,2015 Fall,FUL,Y
8165,GEOL, 101,BA,Physical Geology,16,16,0,NS,N,0.00,__T____,13.00- 14.50,HA-121,LAB,2015 Fall,FUL,
8649,GERM, 101,A,Elementary German,24,15,0,FL,E,1.00,_MTW_F_,10.00- 10.50,JO-206,LEC,2015 Fall,FUL,Y
8238,GERM, 101,B,Elementary German,24,17,0,FL,E,1.00,_MTW_F_,11.00- 11.50,JO-206,LEC,2015 Fall,FUL,
8648,GERM, 101,C,Elementary German,24,20,0,FL,E,1.00,_M_W_F_,12.00- 12.50,JO-206,LEC,2015 Fall,FUL,
